Month,Mean_Temperature
1850/01,-0.6746
1850/02,-0.3334
1850/03,-0.5913
1850/04,-0.5887
1850/05,-0.5088
1850/06,-0.3442
1850/07,-0.1598
1850/08,-0.2077
1850/09,-0.3847
1850/10,-0.5331
1850/11,-0.2825
1850/12,-0.4037
1851/01,-0.2007
1851/02,-0.4693
1851/03,-0.6461
1851/04,-0.5421
1851/05,-0.1976
1851/06,-0.1367
1851/07,-0.0968
1851/08,-0.1018
1851/09,-0.0912
1851/10,-0.0084
1851/11,-0.0819
1851/12,-0.2275
1852/01,-0.3751
1852/02,-0.4767
1852/03,-0.5598
1852/04,-0.5854
1852/05,-0.1274
1852/06,-0.0837
1852/07,0.005
1852/08,-0.1356
1852/09,-0.0019
1852/10,-0.1724
1852/11,-0.3052
1852/12,0.0654
1853/01,-0.2326
1853/02,-0.4037
1853/03,-0.2804
1853/04,-0.3863
1853/05,-0.2679
1853/06,-0.1424
1853/07,-0.0834
1853/08,-0.0566
1853/09,-0.2503
1853/10,-0.3918
1853/11,-0.4114
1853/12,-0.3374
1854/01,-0.3814
1854/02,-0.3611
1854/03,-0.2427
1854/04,-0.3338
1854/05,-0.2895
1854/06,-0.299
1854/07,-0.1786
1854/08,-0.2394
1854/09,-0.2167
1854/10,-0.0953
1854/11,-0.4103
1854/12,-0.4504
1855/01,-0.1592
1855/02,-0.3134
1855/03,-0.344
1855/04,-0.2182
1855/05,-0.3873
1855/06,-0.333
1855/07,-0.333
1855/08,-0.1995
1855/09,-0.2707
1855/10,-0.1954
1855/11,-0.3893
1855/12,-0.4199
1856/01,-0.0756
1856/02,-0.3371
1856/03,-0.3577
1856/04,-0.3159
1856/05,-0.2851
1856/06,-0.2142
1856/07,-0.2247
1856/08,-0.2377
1856/09,-0.3882
1856/10,-0.4381
1856/11,-0.5523
1856/12,-0.4175
1857/01,-0.4948
1857/02,-0.4349
1857/03,-0.4786
1857/04,-0.6443
1857/05,-0.6587
1857/06,-0.3041
1857/07,-0.4114
1857/08,-0.369
1857/09,-0.3797
1857/10,-0.4726
1857/11,-0.6851
1857/12,-0.2735
1858/01,-0.2955
1858/02,-0.4769
1858/03,-0.5477
1858/04,-0.428
1858/05,-0.5321
1858/06,-0.3795
1858/07,-0.3356
1858/08,-0.2775
1858/09,-0.2832
1858/10,-0.2887
1858/11,-0.3655
1858/12,-0.455
1859/01,-0.3815
1859/02,-0.3435
1859/03,-0.3137
1859/04,-0.1572
1859/05,-0.1525
1859/06,-0.2496
1859/07,-0.3121
1859/08,-0.2446
1859/09,-0.3939
1859/10,-0.2547
1859/11,-0.2875
1859/12,-0.2844
1860/01,-0.3906
1860/02,-0.4683
1860/03,-0.7865
1860/04,-0.3061
1860/05,-0.3636
1860/06,-0.2115
1860/07,-0.1848
1860/08,-0.1142
1860/09,-0.1313
1860/10,-0.346
1860/11,-0.6049
1860/12,-0.7742
1861/01,-0.918
1861/02,-0.6246
1861/03,-0.4157
1861/04,-0.3862
1861/05,-0.6603
1861/06,-0.2514
1861/07,-0.2967
1861/08,-0.0411
1861/09,-0.2703
1861/10,-0.4766
1861/11,-0.4576
1861/12,-0.3509
1862/01,-0.8248
1862/02,-0.7155
1862/03,-0.5354
1862/04,-0.5221
1862/05,-0.3475
1862/06,-0.3066
1862/07,-0.3449
1862/08,-0.4562
1862/09,-0.3624
1862/10,-0.4487
1862/11,-0.6778
1862/12,-0.8945
1863/01,-0.0763
1863/02,-0.2495
1863/03,-0.355
1863/04,-0.2883
1863/05,-0.3837
1863/06,-0.3683
1863/07,-0.3123
1863/08,-0.2974
1863/09,-0.352
1863/10,-0.5043
1863/11,-0.4406
1863/12,-0.5032
1864/01,-0.8532
1864/02,-0.5934
1864/03,-0.4994
1864/04,-0.5436
1864/05,-0.3238
1864/06,-0.1125
1864/07,-0.2596
1864/08,-0.3079
1864/09,-0.4425
1864/10,-0.6029
1864/11,-0.4562
1864/12,-0.5903
1865/01,-0.1761
1865/02,-0.4667
1865/03,-0.6612
1865/04,-0.4482
1865/05,-0.3775
1865/06,-0.1952
1865/07,-0.2152
1865/08,-0.2118
1865/09,-0.1709
1865/10,-0.2694
1865/11,-0.3371
1865/12,-0.4606
1866/01,-0.1321
1866/02,-0.4011
1866/03,-0.6822
1866/04,-0.4544
1866/05,-0.5728
1866/06,-0.0981
1866/07,-0.0083
1866/08,-0.2495
1866/09,-0.3778
1866/10,-0.4206
1866/11,-0.2983
1866/12,-0.4004
1867/01,-0.4052
1867/02,-0.3536
1867/03,-0.6812
1867/04,-0.4213
1867/05,-0.5748
1867/06,-0.3504
1867/07,-0.2528
1867/08,-0.3305
1867/09,-0.1479
1867/10,-0.1253
1867/11,-0.1957
1867/12,-0.4454
1868/01,-0.6849
1868/02,-0.6933
1868/03,-0.3339
1868/04,-0.363
1868/05,-0.2855
1868/06,-0.2969
1868/07,-0.0596
1868/08,-0.1933
1868/09,-0.3448
1868/10,-0.2297
1868/11,-0.4232
1868/12,-0.314
1869/01,-0.3357
1869/02,0.1313
1869/03,-0.626
1869/04,-0.4057
1869/05,-0.31
1869/06,-0.3845
1869/07,-0.4171
1869/08,-0.1679
1869/09,-0.1716
1869/10,-0.2935
1869/11,-0.2818
1869/12,-0.5366
1870/01,-0.2111
1870/02,-0.4549
1870/03,-0.4983
1870/04,-0.3329
1870/05,-0.2977
1870/06,-0.2312
1870/07,-0.0734
1870/08,-0.2582
1870/09,-0.2023
1870/10,-0.4429
1870/11,-0.2658
1870/12,-0.6664
1871/01,-0.5583
1871/02,-0.6721
1871/03,-0.1709
1871/04,-0.2219
1871/05,-0.3622
1871/06,-0.2864
1871/07,-0.0824
1871/08,-0.3224
1871/09,-0.3611
1871/10,-0.3733
1871/11,-0.5227
1871/12,-0.489
1872/01,-0.5988
1872/02,-0.6208
1872/03,-0.5237
1872/04,-0.3854
1872/05,-0.1415
1872/06,-0.2794
1872/07,-0.1463
1872/08,0.0086
1872/09,-0.1765
1872/10,-0.2035
1872/11,-0.322
1872/12,-0.548
1873/01,-0.2617
1873/02,-0.2825
1873/03,-0.4087
1873/04,-0.4806
1873/05,-0.3509
1873/06,-0.3205
1873/07,-0.1757
1873/08,-0.2278
1873/09,-0.4053
1873/10,-0.3906
1873/11,-0.4633
1873/12,-0.3279
1874/01,-0.1985
1874/02,-0.4384
1874/03,-0.6729
1874/04,-0.437
1874/05,-0.334
1874/06,-0.5658
1874/07,-0.1671
1874/08,-0.2961
1874/09,-0.1682
1874/10,-0.4712
1874/11,-0.4177
1874/12,-0.312
1875/01,-0.5711
1875/02,-0.4793
1875/03,-0.5643
1875/04,-0.3581
1875/05,-0.2728
1875/06,-0.28
1875/07,-0.1821
1875/08,-0.2465
1875/09,-0.2343
1875/10,-0.2332
1875/11,-0.5092
1875/12,-0.5767
1876/01,-0.5137
1876/02,-0.3374
1876/03,-0.3623
1876/04,-0.4243
1876/05,-0.5904
1876/06,-0.3523
1876/07,-0.2137
1876/08,-0.3272
1876/09,-0.4178
1876/10,-0.2998
1876/11,-0.6068
1876/12,-0.6434
1877/01,-0.4111
1877/02,-0.2093
1877/03,-0.0914
1877/04,-0.3459
1877/05,-0.4113
1877/06,-0.1382
1877/07,-0.0163
1877/08,0.2107
1877/09,0.1076
1877/10,0.1133
1877/11,0.034
1877/12,-0.0556
1878/01,-0.0698
1878/02,0.2294
1878/03,0.3613
1878/04,0.1885
1878/05,-0.1224
1878/06,0.0103
1878/07,-0.0772
1878/08,-0.0466
1878/09,0.0208
1878/10,-0.165
1878/11,-0.1426
1878/12,-0.3226
1879/01,-0.2378
1879/02,-0.266
1879/03,-0.2584
1879/04,-0.3824
1879/05,-0.3439
1879/06,-0.2833
1879/07,-0.2641
1879/08,-0.2653
1879/09,-0.2356
1879/10,-0.1591
1879/11,-0.3973
1879/12,-0.5505
1880/01,-0.2
1880/01,-0.3939
1880/02,-0.25
1880/02,-0.4499
1880/03,-0.09
1880/03,-0.1944
1880/04,-0.16
1880/04,-0.338
1880/05,-0.09
1880/05,-0.3254
1880/06,-0.22
1880/06,-0.3805
1880/07,-0.2
1880/07,-0.3148
1880/08,-0.09
1880/08,-0.1072
1880/09,-0.15
1880/09,-0.297
1880/10,-0.22
1880/10,-0.3909
1880/11,-0.22
1880/11,-0.2807
1880/12,-0.18
1880/12,-0.3173
1881/01,-0.19
1881/01,-0.2146
1881/02,-0.15
1881/02,-0.2246
1881/03,0.02
1881/03,-0.2482
1881/04,0.04
1881/04,-0.0625
1881/05,0.07
1881/05,-0.1219
1881/06,-0.19
1881/06,-0.3991
1881/07,0.01
1881/07,-0.194
1881/08,-0.04
1881/08,-0.1382
1881/09,-0.16
1881/09,-0.3008
1881/10,-0.22
1881/10,-0.2305
1881/11,-0.18
1881/11,-0.3812
1881/12,-0.07
1881/12,-0.2713
1882/01,0.16
1882/01,-0.0254
1882/02,0.14
1882/02,-0.1173
1882/03,0.05
1882/03,-0.1771
1882/04,-0.15
1882/04,-0.3147
1882/05,-0.13
1882/05,-0.3257
1882/06,-0.22
1882/06,-0.3923
1882/07,-0.16
1882/07,-0.341
1882/08,-0.07
1882/08,-0.2451
1882/09,-0.14
1882/09,-0.1504
1882/10,-0.23
1882/10,-0.3991
1882/11,-0.17
1882/11,-0.4035
1882/12,-0.36
1882/12,-0.6547
1883/01,-0.29
1883/01,-0.4728
1883/02,-0.36
1883/02,-0.4854
1883/03,-0.12
1883/03,-0.2664
1883/04,-0.18
1883/04,-0.439
1883/05,-0.18
1883/05,-0.34
1883/06,-0.07
1883/06,-0.1902
1883/07,-0.07
1883/07,-0.2186
1883/08,-0.14
1883/08,-0.2879
1883/09,-0.22
1883/09,-0.3063
1883/10,-0.11
1883/10,-0.3401
1883/11,-0.24
1883/11,-0.3963
1883/12,-0.11
1883/12,-0.4148
1884/01,-0.12
1884/01,-0.4436
1884/02,-0.08
1884/02,-0.3329
1884/03,-0.36
1884/03,-0.5055
1884/04,-0.4
1884/04,-0.509
1884/05,-0.33
1884/05,-0.5656
1884/06,-0.35
1884/06,-0.5138
1884/07,-0.3
1884/07,-0.5659
1884/08,-0.28
1884/08,-0.4291
1884/09,-0.27
1884/09,-0.5043
1884/10,-0.25
1884/10,-0.4633
1884/11,-0.33
1884/11,-0.5852
1884/12,-0.3
1884/12,-0.4897
1885/01,-0.58
1885/01,-0.6561
1885/02,-0.34
1885/02,-0.5528
1885/03,-0.27
1885/03,-0.421
1885/04,-0.42
1885/04,-0.635
1885/05,-0.45
1885/05,-0.6063
1885/06,-0.43
1885/06,-0.6366
1885/07,-0.33
1885/07,-0.4205
1885/08,-0.31
1885/08,-0.4051
1885/09,-0.28
1885/09,-0.3567
1885/10,-0.23
1885/10,-0.3615
1885/11,-0.24
1885/11,-0.3843
1885/12,-0.1
1885/12,-0.2176
1886/01,-0.44
1886/01,-0.4797
1886/02,-0.51
1886/02,-0.4788
1886/03,-0.43
1886/03,-0.4872
1886/04,-0.28
1886/04,-0.3616
1886/05,-0.24
1886/05,-0.2926
1886/06,-0.34
1886/06,-0.502
1886/07,-0.18
1886/07,-0.3022
1886/08,-0.31
1886/08,-0.4574
1886/09,-0.24
1886/09,-0.3908
1886/10,-0.28
1886/10,-0.413
1886/11,-0.28
1886/11,-0.4908
1886/12,-0.26
1886/12,-0.3948
1887/01,-0.72
1887/01,-0.7438
1887/02,-0.57
1887/02,-0.6589
1887/03,-0.36
1887/03,-0.4454
1887/04,-0.35
1887/04,-0.4828
1887/05,-0.31
1887/05,-0.5295
1887/06,-0.25
1887/06,-0.5258
1887/07,-0.26
1887/07,-0.3889
1887/08,-0.36
1887/08,-0.4455
1887/09,-0.26
1887/09,-0.3886
1887/10,-0.36
1887/10,-0.4446
1887/11,-0.27
1887/11,-0.4352
1887/12,-0.33
1887/12,-0.4965
1888/01,-0.34
1888/01,-0.6185
1888/02,-0.36
1888/02,-0.5873
1888/03,-0.42
1888/03,-0.5973
1888/04,-0.21
1888/04,-0.3519
1888/05,-0.22
1888/05,-0.4113
1888/06,-0.17
1888/06,-0.3217
1888/07,-0.1
1888/07,-0.3386
1888/08,-0.16
1888/08,-0.3105
1888/09,-0.12
1888/09,-0.3247
1888/10,0.01
1888/10,-0.1664
1888/11,0.02
1888/11,-0.265
1888/12,-0.04
1888/12,-0.2593
1889/01,-0.09
1889/01,-0.2967
1889/02,0.16
1889/02,-0.0066
1889/03,0.06
1889/03,-0.0873
1889/04,0.09
1889/04,-0.0868
1889/05,-0.01
1889/05,-0.1581
1889/06,-0.1
1889/06,-0.2128
1889/07,-0.08
1889/07,-0.2809
1889/08,-0.21
1889/08,-0.3071
1889/09,-0.24
1889/09,-0.3417
1889/10,-0.26
1889/10,-0.37
1889/11,-0.34
1889/11,-0.5064
1889/12,-0.29
1889/12,-0.3443
1890/01,-0.42
1890/01,-0.5339
1890/02,-0.45
1890/02,-0.465
1890/03,-0.4
1890/03,-0.6111
1890/04,-0.3
1890/04,-0.4941
1890/05,-0.4
1890/05,-0.5365
1890/06,-0.25
1890/06,-0.4948
1890/07,-0.28
1890/07,-0.4891
1890/08,-0.39
1890/08,-0.467
1890/09,-0.37
1890/09,-0.4822
1890/10,-0.25
1890/10,-0.4392
1890/11,-0.44
1890/11,-0.6701
1890/12,-0.32
1890/12,-0.3993
1891/01,-0.34
1891/01,-0.5802
1891/02,-0.47
1891/02,-0.5976
1891/03,-0.18
1891/03,-0.3625
1891/04,-0.28
1891/04,-0.4481
1891/05,-0.17
1891/05,-0.3462
1891/06,-0.21
1891/06,-0.3751
1891/07,-0.18
1891/07,-0.3997
1891/08,-0.18
1891/08,-0.3549
1891/09,-0.16
1891/09,-0.2567
1891/10,-0.22
1891/10,-0.343
1891/11,-0.32
1891/11,-0.5339
1891/12,-0.04
1891/12,-0.218
1892/01,-0.3
1892/01,-0.4648
1892/02,-0.13
1892/02,-0.2897
1892/03,-0.41
1892/03,-0.533
1892/04,-0.34
1892/04,-0.5456
1892/05,-0.24
1892/05,-0.4569
1892/06,-0.22
1892/06,-0.4364
1892/07,-0.32
1892/07,-0.5868
1892/08,-0.27
1892/08,-0.5083
1892/09,-0.17
1892/09,-0.3824
1892/10,-0.14
1892/10,-0.4338
1892/11,-0.43
1892/11,-0.6607
1892/12,-0.39
1892/12,-0.7923
1893/01,-0.82
1893/01,-1.0449
1893/02,-0.57
1893/02,-0.845
1893/03,-0.23
1893/03,-0.4268
1893/04,-0.28
1893/04,-0.5148
1893/05,-0.34
1893/05,-0.5721
1893/06,-0.26
1893/06,-0.4423
1893/07,-0.14
1893/07,-0.2438
1893/08,-0.26
1893/08,-0.287
1893/09,-0.23
1893/09,-0.3651
1893/10,-0.19
1893/10,-0.3043
1893/11,-0.19
1893/11,-0.4048
1893/12,-0.32
1893/12,-0.4845
1894/01,-0.53
1894/01,-0.6276
1894/02,-0.3
1894/02,-0.4295
1894/03,-0.24
1894/03,-0.5116
1894/04,-0.45
1894/04,-0.5375
1894/05,-0.31
1894/05,-0.5192
1894/06,-0.41
1894/06,-0.5836
1894/07,-0.24
1894/07,-0.3921
1894/08,-0.24
1894/08,-0.3536
1894/09,-0.28
1894/09,-0.4397
1894/10,-0.24
1894/10,-0.399
1894/11,-0.27
1894/11,-0.4601
1894/12,-0.22
1894/12,-0.5517
1895/01,-0.42
1895/01,-0.636
1895/02,-0.44
1895/02,-0.6418
1895/03,-0.34
1895/03,-0.6179
1895/04,-0.23
1895/04,-0.4611
1895/05,-0.28
1895/05,-0.4825
1895/06,-0.22
1895/06,-0.4254
1895/07,-0.18
1895/07,-0.3349
1895/08,-0.18
1895/08,-0.3772
1895/09,-0.13
1895/09,-0.3943
1895/10,-0.12
1895/10,-0.3257
1895/11,-0.18
1895/11,-0.3214
1895/12,-0.15
1895/12,-0.3668
1896/01,-0.23
1896/01,-0.3152
1896/02,-0.13
1896/02,-0.3366
1896/03,-0.27
1896/03,-0.5884
1896/04,-0.31
1896/04,-0.546
1896/05,-0.16
1896/05,-0.3561
1896/06,-0.12
1896/06,-0.2301
1896/07,-0.03
1896/07,-0.1824
1896/08,-0.06
1896/08,-0.1716
1896/09,-0.08
1896/09,-0.1553
1896/10,0.05
1896/10,-0.1179
1896/11,-0.05
1896/11,-0.3141
1896/12,-0.05
1896/12,-0.0944
1897/01,-0.16
1897/01,-0.3001
1897/02,-0.18
1897/02,-0.3486
1897/03,-0.14
1897/03,-0.4155
1897/04,-0.03
1897/04,-0.1176
1897/05,-0.02
1897/05,-0.1141
1897/06,-0.12
1897/06,-0.1627
1897/07,-0.03
1897/07,-0.187
1897/08,-0.1
1897/08,-0.1854
1897/09,-0.09
1897/09,-0.1863
1897/10,-0.14
1897/10,-0.2123
1897/11,-0.19
1897/11,-0.4227
1897/12,-0.21
1897/12,-0.4652
1898/01,-0.03
1898/01,-0.1992
1898/02,-0.31
1898/02,-0.5561
1898/03,-0.52
1898/03,-0.8427
1898/04,-0.32
1898/04,-0.663
1898/05,-0.31
1898/05,-0.5596
1898/06,-0.2
1898/06,-0.3347
1898/07,-0.23
1898/07,-0.3948
1898/08,-0.27
1898/08,-0.3894
1898/09,-0.22
1898/09,-0.3708
1898/10,-0.35
1898/10,-0.501
1898/11,-0.39
1898/11,-0.5286
1898/12,-0.24
1898/12,-0.4895
1899/01,-0.17
1899/01,-0.3598
1899/02,-0.39
1899/02,-0.554
1899/03,-0.37
1899/03,-0.589
1899/04,-0.21
1899/04,-0.4393
1899/05,-0.23
1899/05,-0.3589
1899/06,-0.32
1899/06,-0.501
1899/07,-0.16
1899/07,-0.3655
1899/08,-0.09
1899/08,-0.2398
1899/09,-0.06
1899/09,-0.1516
1899/10,-0.04
1899/10,-0.1831
1899/11,0.12
1899/11,-0.0569
1899/12,-0.27
1899/12,-0.4662
1900/01,-0.37
1900/01,-0.5065
1900/02,-0.06
1900/02,-0.2029
1900/03,0
1900/03,-0.1997
1900/04,-0.09
1900/04,-0.2241
1900/05,-0.09
1900/05,-0.3028
1900/06,-0.1
1900/06,-0.2171
1900/07,-0.13
1900/07,-0.1909
1900/08,-0.09
1900/08,-0.2108
1900/09,-0.06
1900/09,-0.1957
1900/10,0.09
1900/10,-0.0647
1900/11,-0.07
1900/11,-0.2625
1900/12,-0.07
1900/12,-0.2362
1901/01,-0.22
1901/01,-0.2806
1901/02,-0.12
1901/02,-0.2682
1901/03,0.05
1901/03,-0.2008
1901/04,-0.03
1901/04,-0.1753
1901/05,-0.15
1901/05,-0.2493
1901/06,-0.12
1901/06,-0.2366
1901/07,-0.15
1901/07,-0.3289
1901/08,-0.21
1901/08,-0.205
1901/09,-0.23
1901/09,-0.3551
1901/10,-0.3
1901/10,-0.3407
1901/11,-0.17
1901/11,-0.3958
1901/12,-0.27
1901/12,-0.4845
1902/01,-0.17
1902/01,-0.4395
1902/02,-0.09
1902/02,-0.2322
1902/03,-0.28
1902/03,-0.474
1902/04,-0.28
1902/04,-0.4305
1902/05,-0.33
1902/05,-0.4302
1902/06,-0.32
1902/06,-0.4452
1902/07,-0.28
1902/07,-0.3891
1902/08,-0.3
1902/08,-0.4251
1902/09,-0.29
1902/09,-0.3728
1902/10,-0.3
1902/10,-0.5005
1902/11,-0.37
1902/11,-0.5626
1902/12,-0.42
1902/12,-0.5659
1903/01,-0.25
1903/01,-0.4344
1903/02,-0.07
1903/02,-0.2402
1903/03,-0.24
1903/03,-0.3984
1903/04,-0.42
1903/04,-0.588
1903/05,-0.4
1903/05,-0.516
1903/06,-0.43
1903/06,-0.5476
1903/07,-0.35
1903/07,-0.5052
1903/08,-0.46
1903/08,-0.6014
1903/09,-0.5
1903/09,-0.5597
1903/10,-0.47
1903/10,-0.6648
1903/11,-0.42
1903/11,-0.6297
1903/12,-0.51
1903/12,-0.714
1904/01,-0.63
1904/01,-0.8066
1904/02,-0.59
1904/02,-0.7699
1904/03,-0.51
1904/03,-0.6964
1904/04,-0.51
1904/04,-0.6468
1904/05,-0.52
1904/05,-0.6093
1904/06,-0.49
1904/06,-0.5641
1904/07,-0.51
1904/07,-0.553
1904/08,-0.49
1904/08,-0.4784
1904/09,-0.56
1904/09,-0.5966
1904/10,-0.4
1904/10,-0.553
1904/11,-0.18
1904/11,-0.3966
1904/12,-0.34
1904/12,-0.4996
1905/01,-0.35
1905/01,-0.4634
1905/02,-0.6
1905/02,-0.7201
1905/03,-0.22
1905/03,-0.524
1905/04,-0.34
1905/04,-0.5602
1905/05,-0.3
1905/05,-0.4342
1905/06,-0.29
1905/06,-0.3425
1905/07,-0.27
1905/07,-0.373
1905/08,-0.21
1905/08,-0.3044
1905/09,-0.19
1905/09,-0.3451
1905/10,-0.25
1905/10,-0.3351
1905/11,-0.07
1905/11,-0.2172
1905/12,-0.13
1905/12,-0.2743
1906/01,-0.29
1906/01,-0.2966
1906/02,-0.3
1906/02,-0.3885
1906/03,-0.19
1906/03,-0.2895
1906/04,-0.05
1906/04,-0.1039
1906/05,-0.26
1906/05,-0.3765
1906/06,-0.2
1906/06,-0.2325
1906/07,-0.23
1906/07,-0.3429
1906/08,-0.2
1906/08,-0.2716
1906/09,-0.29
1906/09,-0.353
1906/10,-0.21
1906/10,-0.3222
1906/11,-0.38
1906/11,-0.5317
1906/12,-0.15
1906/12,-0.3205
1907/01,-0.44
1907/01,-0.5292
1907/02,-0.52
1907/02,-0.6185
1907/03,-0.28
1907/03,-0.4379
1907/04,-0.38
1907/04,-0.4779
1907/05,-0.47
1907/05,-0.645
1907/06,-0.42
1907/06,-0.544
1907/07,-0.35
1907/07,-0.425
1907/08,-0.34
1907/08,-0.4909
1907/09,-0.35
1907/09,-0.3986
1907/10,-0.23
1907/10,-0.3359
1907/11,-0.47
1907/11,-0.5563
1907/12,-0.47
1907/12,-0.5898
1908/01,-0.45
1908/01,-0.4664
1908/02,-0.33
1908/02,-0.4138
1908/03,-0.56
1908/03,-0.704
1908/04,-0.45
1908/04,-0.5883
1908/05,-0.37
1908/05,-0.453
1908/06,-0.38
1908/06,-0.4127
1908/07,-0.35
1908/07,-0.4009
1908/08,-0.46
1908/08,-0.4812
1908/09,-0.36
1908/09,-0.3876
1908/10,-0.44
1908/10,-0.5746
1908/11,-0.52
1908/11,-0.6452
1908/12,-0.49
1908/12,-0.6381
1909/01,-0.73
1909/01,-0.7628
1909/02,-0.46
1909/02,-0.5354
1909/03,-0.54
1909/03,-0.652
1909/04,-0.59
1909/04,-0.6327
1909/05,-0.54
1909/05,-0.5917
1909/06,-0.52
1909/06,-0.5
1909/07,-0.45
1909/07,-0.5237
1909/08,-0.34
1909/08,-0.3368
1909/09,-0.39
1909/09,-0.4159
1909/10,-0.4
1909/10,-0.4944
1909/11,-0.32
1909/11,-0.3865
1909/12,-0.56
1909/12,-0.5962
1910/01,-0.43
1910/01,-0.4327
1910/02,-0.41
1910/02,-0.529
1910/03,-0.51
1910/03,-0.6188
1910/04,-0.43
1910/04,-0.5348
1910/05,-0.34
1910/05,-0.5367
1910/06,-0.39
1910/06,-0.5592
1910/07,-0.34
1910/07,-0.4346
1910/08,-0.37
1910/08,-0.3887
1910/09,-0.39
1910/09,-0.4228
1910/10,-0.42
1910/10,-0.4847
1910/11,-0.58
1910/11,-0.6723
1910/12,-0.68
1910/12,-0.7566
1911/01,-0.63
1911/01,-0.6679
1911/02,-0.58
1911/02,-0.7059
1911/03,-0.62
1911/03,-0.7639
1911/04,-0.55
1911/04,-0.6435
1911/05,-0.52
1911/05,-0.6271
1911/06,-0.51
1911/06,-0.5542
1911/07,-0.43
1911/07,-0.4925
1911/08,-0.44
1911/08,-0.5063
1911/09,-0.41
1911/09,-0.4981
1911/10,-0.27
1911/10,-0.345
1911/11,-0.22
1911/11,-0.3492
1911/12,-0.22
1911/12,-0.3154
1912/01,-0.26
1912/01,-0.3293
1912/02,-0.15
1912/02,-0.3148
1912/03,-0.38
1912/03,-0.5542
1912/04,-0.18
1912/04,-0.3377
1912/05,-0.22
1912/05,-0.3351
1912/06,-0.24
1912/06,-0.285
1912/07,-0.43
1912/07,-0.5072
1912/08,-0.55
1912/08,-0.5723
1912/09,-0.58
1912/09,-0.6436
1912/10,-0.58
1912/10,-0.679
1912/11,-0.4
1912/11,-0.5578
1912/12,-0.44
1912/12,-0.5905
1913/01,-0.41
1913/01,-0.5635
1913/02,-0.45
1913/02,-0.5499
1913/03,-0.43
1913/03,-0.6057
1913/04,-0.4
1913/04,-0.5339
1913/05,-0.44
1913/05,-0.541
1913/06,-0.45
1913/06,-0.5513
1913/07,-0.37
1913/07,-0.4768
1913/08,-0.34
1913/08,-0.3955
1913/09,-0.35
1913/09,-0.4168
1913/10,-0.32
1913/10,-0.4382
1913/11,-0.2
1913/11,-0.3676
1913/12,-0.03
1913/12,-0.1639
1914/01,0.04
1914/01,-0.0783
1914/02,-0.1
1914/02,-0.27
1914/03,-0.24
1914/03,-0.3973
1914/04,-0.3
1914/04,-0.4088
1914/05,-0.22
1914/05,-0.3077
1914/06,-0.26
1914/06,-0.3078
1914/07,-0.23
1914/07,-0.2968
1914/08,-0.16
1914/08,-0.2444
1914/09,-0.17
1914/09,-0.3012
1914/10,-0.04
1914/10,-0.1101
1914/11,-0.16
1914/11,-0.1901
1914/12,-0.04
1914/12,-0.2366
1915/01,-0.21
1915/01,-0.2873
1915/02,-0.04
1915/02,-0.2203
1915/03,-0.1
1915/03,-0.1938
1915/04,0.06
1915/04,-0.0825
1915/05,-0.06
1915/05,-0.1679
1915/06,-0.22
1915/06,-0.1719
1915/07,-0.13
1915/07,-0.1689
1915/08,-0.23
1915/08,-0.0666
1915/09,-0.2
1915/09,-0.1201
1915/10,-0.25
1915/10,-0.2859
1915/11,-0.13
1915/11,-0.1726
1915/12,-0.21
1915/12,-0.3622
