Salinity_E,Salinity_W,O2_E,O2_W,Watertemp_E,Watertemp_W,SS_E,SS_W,chla_E,chla_W,SRP_E,SRP_W,DOP_E,DOP_W,TP_E,TP_W,NH4N_E,NH4N_W,NO3N_E,NO3N_W,DON_E,DON_W,TN_E,TN_W,TOC_E,TOC_W,DOC_E,DOC_W,Windspeed_E,Windspeed_W,Depth_E,Depth_W
3.757624,3.757624,9.46,9.66,18.3,18.1,52,59,39.32,19.66,3.5,3.2,11.7,22.8,200.2,129.4,0.039,0.016,0.022,0.008,0.551,0.582,1.371,1.182,16.065,16.6635,7.5,8.172,3.5,1,3.3,3.4
3.504707,3.107266,9.89,10.36,19.1,19.5,50,46,45.87,16.38,4.4,4.3,17.5,22.3,133.2,119.3,0.02,0.026,0.025,0.021,0.123,0.693,1.349,1.429,16.38,16.68,7.86,7.848,0,0,3.6,2.9
3.721493,2.6194975,9.63,11.56,17.5,19,62,42,22.94,9.83,11.7,11.7,13,30.3,142.3,115.2,0.036,0.022,0.021,0.048,0.727,0.383,0.918,1.459,16.0056,16.776,7.535,7.536,4,0,3.2,3
4.407982,3.2698555,9.54,9.66,18.4,17.6,55,59,13.11,9.83,7.4,7.3,16.2,14.9,148.3,67.2,0.023,0.032,0.024,0.017,0.566,0.718,1.508,1.353,15.984,15.822,7.282,7.843,3.5,5,3,3.2
4.3899165,2.709825,9.34,12.12,17.8,19.7,53,72,3.28,13.11,13.8,7.8,21.4,13.6,119.6,132.6,0.031,0.015,0.03,0.024,0.022,0.309,1.152,1.722,15.2496,16.9236,7.37,8.206,4,1,3.7,1.9
4.046672,3.3782485,9.32,9.42,17.9,17.8,50,58,3.28,19.66,8.7,16.2,16,37.7,151,114.2,0.06,0.028,0.007,0.023,0.596,0.42,1.259,1.184,15.336,15.8976,7.051,7.139,4,4,3.5,3.4
3.396314,3.2337245,9.54,9.83,17.2,20,54,42.5,55.7,91.74,10.5,14.3,11.5,9.3,129.4,131.7,0.019,0.014,0.029,0.091,0.679,0.716,1.451,1.463,17.064,17.82,7.667,10.29,2,7,3.1,3.5
3.360183,2.637563,9.11,9.37,17.3,19.9,51,56.25,0,78.63,1,15.4,75.9,19.8,131.3,232.3,0.022,0.004,0.024,0.025,0.557,0.838,1.542,1.308,16.7508,18.65,7.92,10.58,2,4,3.2,3
4.1369995,2.962742,9.6,9.48,17,19.8,61,67.5,0,101.57,7,12.5,13.4,4.1,149.1,135,0.07,0.004,0.034,0.035,0.569,0.803,1.588,1.547,17.4852,20.55,8.206,10.86,4,2,2.7,2.8
3.8479515,3.25179,8.98,9.8,20.1,20.3,66,70,58.98,104.85,14.7,13.9,4.2,0.799999999999999,179.2,137.4,0.045,0.017,0.029,0.037,0.674,0.614,1.357,1.749,16.29,19.54,8.48,10.21,5,1,3.7,3
4.082803,3.3421175,10.46,11.15,20.5,20,53.75,68.75,124.5,124.5,11.7,10.9,16.6,51,189.6,169.8,0.002,0.012,0.043,0.029,0.536,0.543,1.615,1.71,18.54,20,9.73,10.26,3,2,3.6,1.8
3.9563445,3.4866415,8.89,9.74,20,20.4,57.5,52.5,88.46,85.19,13.5,11.6,8.2,39.1,146.7,186.1,0.014,0.017,0.064,0.042,0.721,0.84,1.393,1.545,19.42,17.55,10.09,9.82,2.5,4,2.8,3.6
3.360183,4.02,9.16,10.03,20,19.9,47.5,55.71,68.8,81.91,10.9,26.1,50.7,61.3,182.8,168.4,0.006,0.026,0.142,0.04,0.658,0.961,1.437,1.68,17.95,22.935,10.33,10,3,4.5,3.2,3.5
4.263458,3.14,8.83,8.71,20,20.7,75,58.57,85.19,91.74,11.7,20.3,10.3,46.2,124.5,166,0.019,0.03,0.039,0.028,0.487,0.809,1.279,1.724,17.72,22.26,9.82,9.87,4,5.5,3.6,3
3.685362,3.23,9.12,8.8,20.4,19.8,77.5,67.14,88.46,101.57,15.2,14.7,20.8,24.1,120.9,279.9,0.01,0.024,0.056,0.045,0.685,0.975,1.567,1.936,18,23.01,9.3,9.85,4,10,3.5,3
4.191196,3.68,9.1,10.42,20.1,20.6,80,60,95.02,85.19,18.2,7.4,6.8,9.9,175.5,123.7,0.016,0.043,0.037,0.078,0.802,0.735,1.754,1.553,21.19,17.34,9.93,8.2,5,0.2,2.9,3.5
3.4866415,4.42,9.09,11,20.2,20.2,91.25,60,101.57,75.36,12.8,9.7,80.8,9.8,141.6,151.1,0.014,0.032,0.053,0.058,0.259,0.7,0.375,1.204,22.98,19.47,9.63,8.32,5,0.2,2.8,3
3.3421175,4.1,9.03,11.34,19.8,19.8,116.25,68.75,121.23,81.91,8.9,20.8,59.7,55.1,191.9,138.9,0.016,0.028,0.036,0.045,0.738,0.337,1.484,1.246,23,19.49,10.09,8.89,4,10,2.5,2.9
4.42,3.34,7.62,10.7,19.5,18.7,58.6,84.29,75.36,91.74,19.8,6,7.1,16.8,141.3,206,0.034,0.034,0.01,0.034,0.809,0.571,1.303,1.184,20.075,20.5,9.5,9,2.5,0,3.5,2
4.33,3.61,8.88,9.42,20.3,18.7,57.14,77.14,81.91,88.46,21.4,1.3,35,16.3,210.2,146.1,0.024,0.038,0.027,0.023,0.815,0.719,1.527,1.555,19.437,20.19,9,8.81,2,4,3.6,2.5
3.99,3.92,9.31,10.78,19.1,19.6,71.25,72.86,32.76,98.29,5.1,44.8,15.7,21.9,120.9,218.9,0.039,0.022,0.019,0.044,0.444,0.837,1.346,2.118,18.07,23.78,8.89,9.06,3,2.5,3.45,2.7
4.02,3.68,11.86,11.35,20.7,19.5,57.5,94.29,88.46,85.19,13,22.2,10.1,91.1,103.6,231.1,0.035,0.047,0.057,0.085,0.626,0.588,1.631,1.986,17.85,20.89,8.45,8.45,0,3,3.5,2.8
4.42,3.4,9.09,12.61,18.7,20,78.57,82.86,81.91,98.29,12,61.9,16.8,18.1,141.5,243.5,0.022,0.03,0.043,0.023,0.521,0.519,1.374,1.772,18.64,22.39,8.4,8.52,3.5,2.8,2.7,2
4.42,2.31,9.05,12.5,18.9,20.4,77.14,54.29,85.19,109.21,5.4,88.2,20.6,34.7,181.2,243.7,0.035,0.053,0.033,0.032,0.548,0.642,1.222,1.971,17.898,18.84,8,8.67,3,3.5,3.45,1.9
4.3,3.86,9.31,12.85,18.7,20.4,72.86,75.71,88.46,76.45,13.6,22.2,7.2,43.9,146.1,194.2,0.027,0.036,0.026,0.044,0.553,0.476,1.714,1.465,18.2,20.76,8.08,9,2,1,3.8,2.5
3.38,3.63,11.16,10.25,19.9,12.1,71.43,98,101.57,60.07,8.2,34.9,42.2,7.6,182.5,327.6,0.032,0.031,0.039,0.1,0.448,0.688,1.773,1.736,21.64,21.42,8.84,9.47,0,5,2.8,3.3
4.32,3.99,11.2,10.15,20.2,12.3,70,120,72.08,92.83,7.1,32,14.9,25.5,212.1,241.3,0.031,0.031,0.024,0.082,0.165,0.775,1.229,2.027,19.76,24,9.3,10.05,0.2,6,3.5,2.7
3.43,4.42,11.14,10.14,20.2,12.2,74.29,120,81.91,70.99,22.8,13.9,16.2,15.2,202.8,200.2,0.012,0.042,0.027,0.031,0.699,0.655,1.707,1.869,22.76,22.06,9.14,9,1.5,6,2.5,2.6
3.54,3.86,12.89,9.84,20.6,12,64.29,138,81.91,76.45,21.1,12.8,9,34.3,277.7,260.6,0.03,0.033,0.05,0.069,0.755,0.7,1.773,2.153,23.27,26.1,8.85,8.68,0.2,4.5,1.5,2.7
3.25,4.23,11.51,9.77,20.1,10.9,75.71,114,102.39,70.99,41.8,7.3,27.7,45,220.4,283.9,0.03,0.034,0.027,0.054,0.534,0.741,1.867,1.876,23.94,23.49,9.46,9.25,3,4,2.7,1.5
4.42,3.85,9.88,9.95,12.5,12.6,94,88,62.25,38.23,14.4,21.7,6.4,21.5,193.3,235.7,0.052,0.03,0.048,0.074,0.291,0.62,1.502,1.735,16.23,22.1,8.13,9.89,4,3,3.2,3.4
4.42,2.1,10.1,11.87,12.6,11.4,90,34,70.99,39.32,10.8,1.1,15.8,10.3,224.2,104.9,0.042,0.028,0.039,0.026,0.764,0.3,1.424,1.105,17.27,12.59,8.31,6.5,3.5,8,3.4,3.4
4.42,2,10.43,12.33,12.3,11.7,94,61,49.15,49.15,10.6,4.5,7.5,5.3,218.3,113,0.036,0.037,0.034,0.025,0.409,0.449,1.394,1.319,15.59,15.28,7.51,7.1,3,7,2.7,2.8
4.42,1.8,10.02,12.18,12.4,12,80,78,60.07,47.1,8.9,6.7,2,1.2,167.5,188.2,0.032,0.022,0.032,0.03,0.603,0.53,1.404,1.073,18.24,15.23,8.47,7.34,2.5,8,3,2.8
4.42,2.6,9.7,12.28,12.6,11.3,94,40,87.37,43,28.5,5.7,0.699999999999999,8.1,168.4,89.4,0.037,0.02,0.038,0.023,0.685,0.483,1.621,1.024,19.24,11.634,9.22,7.6125,5,7,3.2,3.1
3.96,2.3,9.68,11.89,12.6,11.3,104,43,65.53,40.96,8.2,7.5,36.3,9,163,166.7,0.044,0.025,0.035,0.022,0.555,0.429,1.449,1.012,18.23,14.2275,8.5,7.9485,6.5,5,3.5,1.8
4.08,2.6,9.37,12.6,12.6,11.6,104,34,92.83,32.76,38.5,2.2,40.9,4.9,270.9,83,0.024,0.028,0.061,0.033,0.783,0.496,1.876,1.119,25.04,12.2325,10.63,7.7805,6,6,3.5,3.4
4.42,2.2,10.05,11.2,12.2,17.8,88,127.5,87.37,36.04,33.6,8.2,2.5,61.8,230.8,128,0.026,0.031,0.053,0.038,0.752,0.724,1.735,0.847,23.37,15.93,10.38,7.87,5,5.3,3.4,3.3
4.42,1.8,9.93,11.2,12.3,18.1,124,111.25,81.91,32.76,26.5,12,13.9,35.2,266.9,141.3,0.035,0.037,0.048,0.036,0.762,0.295,1.895,1.047,24.69,17.56,10.35,8.29,4,7.9,2.2,2.8
2.7,1.5,11.23,10.99,10.8,18.2,31,113.75,26.21,36.04,2.4,13.5,8.2,26.3,61.3,136.1,0.03,0.023,0.009,0.03,0.572,0.025,0.853,0.157,10.98,18.35,6.8,8.62,5,7.8,3.5,2.7
2.4,2.4,12.25,11.11,10.9,17.8,32,90,39.32,39.32,9.8,20.1,0.799999999999999,13.3,123.7,144.2,0.036,0.027,0.023,0.047,0.553,0.495,0.707,0.619,12.03,16,7.03,7.3,6,6.7,3.5,3.1
2.7,1.8,12.81,10.88,11.5,17.1,34,120,37.68,39.32,8.7,12.7,2.2,23.4,119.3,167.5,0.021,0.015,0.038,0.035,0.481,0.427,1.042,0.955,11.676,17.18,7.0035,8.4,5,4.9,2.7,1.9
2.7,2.6,12.42,10.96,11.4,17.5,33,156.25,36.04,39.32,4.9,12.8,7.1,16.3,73.2,108,0.023,0.047,0.022,0.041,0.423,0.514,0.927,1.094,10.6995,14.28,6.4575,7.27,4,6.8,3.2,3.4
2.4,3.6,11.22,10.62,10.8,16.9,32,117.5,22.94,131.05,1.3,41,9.6,8.9,91.1,190.9,0.019,0.106,0.019,0.015,0.501,0.554,0.608,0.984,11.067,16.02,7.1505,6.48,4,2.5,3.4,3.5
2.4,3.2,12.11,10.74,10.9,16.9,29,126.25,32.76,13.11,4.5,31.2,9.3,5.8,91.6,209.6,0.028,0.01,0.027,0.019,0.575,0.728,1.028,1.424,13.0305,18.14,7.5075,7.4081,5,3,3.5,2.7
2.4,2.4,12.07,10.69,10.9,16.8,34,132.5,42.59,30.58,1.9,23,21.1,12.3,91.1,170.8,0.016,0.035,0.038,0.02,0.551,0.71,1.058,1.606,12.348,19.95,7.161,7.714,2,5,3.4,2.9
2.4,2.2,11.5,11.33,10.8,17.2,37,108.75,47.51,43.69,10.5,19.8,4.1,3.5,84.6,146.7,0.019,0.01,0.036,0.026,0.48,0.704,0.719,1.156,12.1275,18.0776,7.2345,8.142,2,5,3.4,3.3
2.2,1.4,11.45,9.79,10.6,16.5,32,142.5,32.76,17.47,2.1,28.7,34.3,6.5,74.5,286.3,0.026,0.019,0.032,0.026,0.48,0.743,0.972,1.917,12.558,21.83,7.644,7.965,3,6,2.1,2
3.1,3.3,10.08,10.71,17.1,17.1,70,102.5,26.21,131.06,9.7,21.7,11.4,1.8,174.6,158.1,0.101,0.02,0.056,0.024,0.222,0.365,1.182,1.115,14.19,16.3194,7.55,6.8912,4,4.5,3.2,3.4
2.8,3.7,10.98,10,17.5,20.4,72.5,71.3,29.49,62.25,14.6,10.9,81.6,1.5,132.6,221.5,0.027,0.053,0.038,0.07,0.179,0.613,0.846,1.513,14.44,17.273,7.3,8.268,5.4,3.5,3.5,3.5
2.8,3.4,11.15,9.68,17.9,20.5,177.5,81.3,36.04,32.76,17.3,7,55.9,23.7,129.8,209.9,0.046,0.025,0.04,0.04,0.477,0.616,1.154,1.083,16.6,15.5595,6.99,8.064,6.2,3,2.7,2.9
3,1.8,10.23,10.35,17,20.2,146.25,65,32.76,3.28,10.1,18.2,28.6,12.4,180.8,188.5,0.033,0.014,0.037,0.057,0.508,0.578,0.952,1.263,14.41,16.445,7.11,8.592,5.9,6,3.4,2.9
3.1,3.3,10.81,9.68,16.8,20.4,105,70,26.21,9.83,10.8,13,28.8,9,130.4,180.9,0.028,0.024,0.032,0.034,0.397,0.67,0.567,1.342,13.7,15.16,6.96,7.93,5.8,5,3.5,3.3
3.1,3.2,10.48,9.31,16.9,19.7,150,193.8,29.49,52.42,15.8,4,58.8,34.2,111.1,245.4,0.024,0.015,0.024,0.05,0.36,0.649,1.202,1.915,14.34,16.768,6.81,8.346,5,8,3.5,1.8
2.6,3.6,10.8,9.54,17.1,20.4,117.5,93.8,36.04,42.59,24.7,8.2,58.6,6.2,104.2,206.1,0.1,0.013,0.045,0.065,0.178,0.51,1.038,1.471,15.26,17.024,7.78,7.891,7.9,5,3.6,3.6
2.4,3.1,10.92,9.36,17,20.3,122.5,80,32.76,70.99,17.4,1.6,12.1,17.6,108,154.5,0.085,0.019,0.039,0.018,0.305,0.757,0.73,1.761,15.33,16.26,7.55,8.28,7.5,9,3.4,3
2.2,2.3,10.8,9.3,17,19.8,110,80,42.59,92.83,12,41.8,20.6,59.6,151,229.7,0.104,0.011,0.043,0.023,0.388,0.77,0.794,1.951,15.66,19.236,7.21,9.6,5,5,2.3,2.4
3.6,2.5,10.22,8.49,17.1,20,106.25,103.75,21.84,92.83,19,4.4,10.7,41.2,145.8,219.9,0.016,0.018,0.016,0.023,0.587,0.85,0.903,2.12,16.57,18.84,6.94,9.144,3,10,3.4,2
3.3,3.2,10.28,8.5,16.8,20.1,122.5,71.25,48.05,141.98,14.4,11.7,15.2,14.1,178.9,172.5,0.015,0.013,0.016,0.029,0.67,0.652,1.142,1.563,16,17.424,6.6,7.692,5,6.5,3.4,1.7
1.9,3.3,9.94,9.94,16.3,20.3,128.75,88.75,8.74,81.91,14.9,6.5,1.4,43.7,183.1,130.4,0.014,0.011,0.027,0.027,0.659,0.756,1.273,1.565,19.9774,17.112,7.5874,7.56,6,9,3,3.4
3.1,4.3,10.1,9.79,16.8,16.4,161.25,113.75,170.37,57.34,16.6,18.1,13.8,5.2,209,173.3,0.023,0.048,0.027,0.018,0.502,0.519,1.693,1.622,19.2104,19.708,7.2098,7.41,4,6.7,3.4,3.2
3.5,3.9,10.16,9.8,16.3,16.4,143.75,112.5,69.9,49.15,21.9,26.1,9.4,4.6,184.1,174.1,0.026,0.037,0.027,0.029,0.473,0.706,1.392,1.705,18.3018,18.421,7.08,8.099,3.5,7.6,3.2,2.6
3.3,3.3,9.99,9.82,16.4,16.1,123.75,93.75,48.05,36.86,33.3,21.7,11.3,36.8,155.9,183.5,0.048,0.035,0.026,0.026,0.652,0.877,1.267,1.909,17.9478,20.67,6.903,8.619,5,8.2,3.4,2.4
2.8,3.1,10.12,10.58,16,16.1,166.25,103.75,30.58,57.34,22,50.2,25.5,19.2,218.6,205.5,0.032,0.032,0.029,0.029,0.57,0.835,1.033,1.878,19.883,19.0965,7.08,8.2215,6,11,3,1.8
2.3,4.2,10.18,9.9,15.8,16.3,170,111.25,69.9,57.34,21.1,14.3,8.9,5.6,173.3,161,0.066,0.033,0.032,0.05,0.522,0.698,1.48,1.924,21.5704,19.082,7.375,7.25,7,7.9,3.3,3.3
1.6,,10.11,,16.1,,217.5,,91.74,,22.8,,11.9,,123.7,,0.029,,0.027,,0.651,,0.883,,24.426,,8.024,,7.5,,2,
3.2,,9.04,,20.1,,90,,9.83,,5.1,,8.2,,212.9,,0.013,,0.06,,0.561,,1.62,,17.2,,8.064,,6,,3.7,
3.3,,9.66,,20.3,,58.8,,16.38,,9.2,,12.5,,168.4,,0.016,,0.039,,0.577,,1.067,,14.48,,8.1,,4,,3.7,
3.3,,9.35,,20.1,,102.5,,13.11,,7,,63.8,,158.7,,0.012,,0.047,,0.539,,1.756,,17.0624,,7.592,,6,,3.3,
3.2,,9.14,,20.2,,127.5,,16.38,,9.7,,83.6,,182,,0.02,,0.129,,0.564,,1.675,,15.616,,7.8,,7,,3.5,
3.3,,9.15,,20.1,,101.3,,36.04,,11.1,,18.4,,293.1,,0.024,,0.056,,0.69,,1.969,,16.064,,7.982,,7,,3.5,
3.7,,8.84,,20.2,,112.5,,26.21,,2.2,,57.8,,214.5,,0.016,,0.06,,0.525,,1.551,,16.064,,8.125,,7.5,,3.2,
3.7,,8.63,,19.8,,125,,16.38,,6.8,,4.6,,206.7,,0.013,,0.072,,0.456,,1.951,,15.872,,8.58,,7,,3.5,
3.5,,9.15,,19.4,,170,,22.94,,3.3,,69.1,,266.9,,0.02,,0.049,,0.488,,1.898,,19,,8.073,,7,,2.2,
3.7,,9.15,,20.6,,61.25,,70.99,,16.5,,35.6,,144.5,,0.026,,0.019,,0.512,,1.517,,16.44,,8.532,,6,,3.5,
3.5,,9.03,,20.1,,67.5,,81.91,,9.2,,33.1,,158.3,,0.027,,0.015,,0.643,,1.468,,18.264,,8.28,,8.5,,3.9,
3.6,,9.34,,20.4,,70,,65.53,,14.6,,10.6,,138,,0.018,,0.009,,0.547,,1.37,,17.688,,7.5,,11,,2.9,
3.2,,9.63,,20.3,,66.25,,54.61,,10.5,,20.7,,176,,0.019,,0.024,,0.588,,1.411,,15.324,,7.572,,6.5,,3,
3.8,,8.91,,20.5,,76.25,,76.45,,5.5,,15.4,,168.9,,0.014,,0.021,,0.541,,1.471,,16.092,,7.584,,6,,3.5,
3.4,,8.98,,20.3,,76.25,,54.61,,14.4,,13.2,,161.6,,0.017,,0.038,,0.526,,1.388,,17.976,,7.62,,10,,3.1,
3.7,,8.42,,20.5,,92.5,,125.6,,8.2,,12.1,,186.1,,0.024,,0.024,,0.553,,1.597,,19.14,,7.764,,10,,2.8,
3.2,,8.47,,20.1,,92.5,,65.53,,1.4,,20.8,,203.9,,0.026,,0.032,,0.682,,1.588,,17.364,,8.004,,7,,2.9,
3.1,,8.49,,19.8,,82.5,,81.91,,8.9,,9.3,,241,,0.021,,0.038,,0.562,,1.724,,16.656,,8.136,,6,,2.2,
4.4,,9.96,,16.2,,98.75,,42.59,,23.3,,7,,167,,0.058,,0.015,,0.248,,1.428,,18.408,,7.8,,7.7,,3.4,
4.3,,9.86,,16.4,,95,,45.05,,24.2,,12.5,,207.1,,0.06,,0.02,,0.276,,1.624,,17.121,,7.332,,7.3,,3.4,
3.7,,9.86,,16.2,,112.5,,49.15,,9.7,,21.4,,217.4,,0.04,,0.052,,0.838,,1.556,,21.3005,,7.6705,,7,,3.1,
4.5,,9.93,,16.3,,117.5,,36.86,,23.9,,30.3,,245.7,,0.033,,0.029,,0.406,,1.649,,20.0825,,7.018,,8.5,,3.2,
4.6,,10.02,,16.2,,115,,40.96,,31.4,,32.4,,101.6,,0.024,,0.024,,0.549,,1.073,,18.502,,7.0905,,10.2,,3.3,
4.5,,9.93,,16.3,,113.75,,40.96,,7.1,,20.6,,250.9,,0.021,,0.032,,0.482,,1.347,,18.821,,7.0615,,9.5,,3.4,
4.2,,10.3,,16,,102.5,,49.15,,19.5,,58.8,,175.4,,0.027,,0.048,,0.572,,1.027,,19.546,,7.105,,10.5,,3.3,
4.1,,10.1,,16,,120,,61.43,,14.9,,9,,259.5,,0.034,,0.028,,0.682,,1.432,,20.2565,,7.2065,,11.5,,2.2,
